Number,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q134,IRBConsent ,Latino,Latino_5_TEXT,State,BirthYear,Sex,Race,SkinTone,Income,AttentionCheck1,Education ,TermLatinoHispanic ,PolKnow1,PolKnowledgeMatrix _1,PolKnowledgeMatrix _2,AttentionCheck2,SocDomMatrix_1,SocDomMatrix_2,SocDomMatrix_3,Birthplace,ParentsBirthplace ,Grandparents_Born ,Language,Language_4_TEXT,LinkedFate,ImmResentment_Matrix_1,ImmResentment_Matrix_2,ImmResentment_Matrix_3,ImmResentment_Matrix_4,Voted,VotedFor,Party3,Party3_3_TEXT,Party7pt ,IndParty ,IntragroupDistinct,Emotions_1,Emotions_2,Emotions_9,Emotions_10,Emotions_11,Emotions_12,ManipCheck1,ImmAttitudeHyp ,LikelyToHappen ,AffectLatinoComm,AffectImmComm,PersonallyAffect,GroupDiscImms,GroupDiscLatinos ,PersDisc,StigmaImmMatrix_1,StigmaImmMatrix_2,StigmaImmMatrix_3,StigmaLatinoMatrix_1,StigmaLatinoMatrix_2,StigmaLatinoMatrix_3,IntExtEffPost _1,IntExtEffPost _2,IntExtEffPost _3,IntExtEffPost _4,BelongingPost_1,BelongingPost_2,BelongText1,BelongText ,BelongExternal_1,BelongExternal_2,BorderPoliciesMatrix_1,BorderPoliciesMatrix_2,BorderPoliciesMatrix_3,BorderPoliciesMatrix_4,BorderPoliciesMatrix_5,BorderPoliciesMatrix_6,Participation1 ,OpenEnd,Participation2 ,OpenEndVers2 ,PROLIFIC_PID,AC1Fail,AC2Fail
9,5/7/25 16:06,5/7/25 16:18,IP Address,73.224.27.223,100,725,TRUE,5/7/25 16:18,R_3yvjluhDRAvKsCJ,,,,,30.1918,-81.6028,anonymous,EN,656a1cf88a3cf09f538c6f25,I consent,"Yes, Puerto Rican",,Florida,1968,Male,White or Caucasian,2,"$50,000-$74,999","Not at all interested,Very interested",Bachelor’s degree,Latino/a,the Republican Party,Mike Johnson,Chuck Schumer,"Fox News,NBC",Somewhat agree,Somewhat disagree,Somewhat disagree,Yes,Both were born in the US,All four in the US,English,,Some,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,(4) I definitely voted in the 2024 election,Kamala Harris,Democrat,,Not so strong,,About half the time,0,0,0,0,0,0,State symbols,Strongly oppose,Somewhat unlikely,It would not affect ${q://QID116/ChoiceGroup/SelectedChoices}s,It would not affect immigrants,"No, the same amount",Some,Some,"Yes, for my ethnicity",Somewhat disagree,Somewhat agree,Neither agree or agree,Somewhat disagree,Somewhat agree,Neither agree or agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,10,10,I've been a resident for about 17 years.,I was born in the U.S. and as a citizen I do in fact belong here.,7,7,Somewhat favor,Neither favor nor oppose,Somewhat favor,Somewhat oppose,Somewhat oppose,Somewhat oppose,No,I'm definitely able to gather more information on my own.  ,,,656a1cf88a3cf09f538c6f25,0,0
10,5/7/25 16:06,5/7/25 16:19,IP Address,35.135.115.193,100,792,TRUE,5/7/25 16:19,R_5cxh8xg38Y3ZBYJ,,,,,46.6165,-120.7094,anonymous,EN,5e8644dc6d54ca0a09510c88,I consent,"Yes, Mexican",,Washington,1988,Male,Other,2,"$25,000-$49,999","Not at all interested,Very interested",High school diploma or GED,Hispanic,the Republican Party,Mike Johnson,Chuck Schumer,"Fox News,NBC",Neither agree nor disagree,Somewhat disagree,Strongly disagree,No,Both were born outside the US,All four born outside the US,English,,Not very much,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,(4) I definitely voted in the 2024 election,Donald Trump,Republican,,Strong,,Never,0,1,0,0,0,1,Healthcare,Neither support nor oppose,Not at all likely,It would somewhat negatively affect ${q://QID116/ChoiceGroup/SelectedChoices}s,It would negatively affect immigrants,Don't know,A little,A little,"No, I have not experienced discrimination for these reasons",Neither agree or agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Neither agree or agree,Somewhat agree,7,8,I feel like I belong to my state because I have lived here for over a decade and I have integrated within the community. I feel like people know me and know that I am proud to live here and call this my home.,I feel like I am an American. Even though I immigrated here I know that I follow all the cultural norms and traditions and I don't feel like an outsider at all.,7,6,Strongly favor,Somewhat favor,Strongly favor,Strongly oppose,Neither favor nor oppose,Strongly oppose,,,No,Because I already know what I need to do for all of that. I am already registered to vote and have vogted and I know what affects me as a Hispanic I don't care what affects others.,5e8644dc6d54ca0a09510c88,0,0
11,5/7/25 16:03,5/7/25 16:21,IP Address,74.71.52.1,100,1037,TRUE,5/7/25 16:21,R_7yjgCzEr8XjHTCa,,,,,40.7428,-73.9712,anonymous,EN,6632fc0b22af8fdf65f98b32,I consent,"Yes, Mexican",,Virginia,1984,Female,American Indian/Native American or Alaska Native,2,"$50,000-$74,999","Not at all interested,Very interested","Some college, but no degree",Latino/a,the Republican Party,Mike Johnson,Chuck Schumer,"Fox News,NBC",Somewhat disagree,Somewhat agree,Somewhat agree,Yes,Both were born outside the US,All four born outside the US,English,,Some,Neither agree or agree,Strongly agree,Somewhat agree,Strongly agree,(4) I definitely voted in the 2024 election,Donald Trump,Republican,,Not so strong,,Sometimes,2,0,0,0,0,0,Immigration,Somewhat support,Somewhat unlikely,It would somewhat negatively affect ${q://QID116/ChoiceGroup/SelectedChoices}s,It would negatively affect immigrants,"No, the same amount",A little,Some,"Yes, for my ethnicity",Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree or agree,Somewhat agree,Somewhat agree,Neither agree or agree,Somewhat agree,7,10,i feel like people see me as an equal because time have progressed rather quickly because of the internet. ,everywhere i travel to even if its a state with few tourists im embraced because i share american social customs.,7,8,Neither favor nor oppose,Somewhat favor,Neither favor nor oppose,Somewhat oppose,Somewhat favor,Strongly oppose,,,No, its sad but i dont want to feel weighed down knowing whats happening to immigrants. ,6632fc0b22af8fdf65f98b32,0,0
12,5/7/25 15:56,5/7/25 16:23,IP Address,89.23.87.135,100,1586,TRUE,5/7/25 16:23,R_1Qzn3qJPU1IDjjY,,,,,39.2889,-76.623,anonymous,EN,67d187f13384c3052612cca3,I consent,"Yes, Mexican",,Florida,1986,Male,White or Caucasian,2,"$25,000-$49,999","Not at all interested,Very interested",High school diploma or GED,Latino/a,the Republican Party,Mike Johnson,Chuck Schumer,"Fox News,NBC",Strongly agree,Somewhat disagree,Strongly disagree,Yes,Both were born outside the US,All four in the US,English and Spanish are equally used,,Not at all,Neither agree or agree,Neither agree or agree,Somewhat agree,Neither agree or agree,(4) I definitely voted in the 2024 election,Donald Trump,Republican,,Not so strong,,Sometimes,5,1,1,1,6,3,Healthcare,Neither support nor oppose,Somewhat likely,It would somewhat positively affect ${q://QID116/ChoiceGroup/SelectedChoices}s,It would somewhat positively affect immigrants,"Yes, a little more",A lot,A lot,"No, I have not experienced discrimination for these reasons",Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,9,9,"i feel i belong because i have never been discriminated ever since i was born here,despite my ethicsi f",i feel i have never been discriminated ever since i was born here despite my ethic,10,10,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Neither favor nor oppose,Yes,yaes because i would love to know more how fair this voting is done ,,,67d187f13384c3052612cca3,0,0
13,5/7/25 16:08,5/7/25 16:23,IP Address,174.229.209.195,100,917,TRUE,5/7/25 16:23,R_7sytM4Lu5t5byHK,,,,,40.6105,-74.2813,anonymous,EN,6630fe529aafd2ed163cfd25,I consent,"Yes, Puerto Rican",,New Jersey,1977,Male,White or Caucasian,3,"$75,000-$99,999","Not at all interested,Very interested",Associates or technical degree,Latino/a,the Republican Party,Mike Johnson,Chuck Schumer,"Fox News,NBC",Strongly agree,Strongly disagree,Strongly disagree,Yes,"One in the US, one elsewhere","Two in the US, two elsewhere",English,,Some,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree or agree,(4) I definitely voted in the 2024 election,Kamala Harris,Democrat,,Strong,,Sometimes,2,0,2,0,2,0,Healthcare,Somewhat support,Somewhat likely,It would somewhat positively affect ${q://QID116/ChoiceGroup/SelectedChoices}s,It would positively affect immigrants,"No, the same amount",Some,A little,"Yes, for my ethnicity",Neither agree or agree,Strongly disagree,Somewhat disagree,Neither agree or agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree or agree,Somewhat agree,10,9,I feel like my state is very liberal and have many different cultures here. We also have strong democratic people in the senate that fight for Latino rights.,Since I was born here I have a strong sense of belonging to this country. I feel like for the most part discrimination against me has not been harsh.,10,8,Somewhat favor,Somewhat oppose,Somewhat oppose,Neither favor nor oppose,Strongly favor,Neither favor nor oppose,No,"As someone who has voted in every major election since I turned 18, I don’t need this kind of support. Though I do like what they’re doing with this.",,,6630fe529aafd2ed163cfd25,0,0
14,5/7/25 16:16,5/7/25 16:23,IP Address,12.74.211.51,100,437,TRUE,5/7/25 16:23,R_5UVni7ToNW5zzLd,,,,,32.7797,-96.8022,anonymous,EN,66106426fc5e2e2bccfb8c60,I consent,"Yes, other (Please specify.)",Ecuador,Illinois,1979,Male,White or Caucasian,3,"$150,000 or more","Not at all interested,Very interested",Bachelor’s degree,Hispanic,the Republican Party,Mike Johnson,Chuck Schumer,"Fox News,CNN",Somewhat disagree,Somewhat agree,Neither agree nor disagree,Yes,Both were born outside the US,All four born outside the US,English and Spanish are equally used,,Not very much,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,(4) I definitely voted in the 2024 election,Donald Trump,Republican,,Strong,,Sometimes,4,1,8,1,5,6,State symbols,Neither support nor oppose,Somewhat unlikely,It would not affect ${q://QID116/ChoiceGroup/SelectedChoices}s,It would not affect immigrants,"No, the same amount",Some,Some,"No, I have not experienced discrimination for these reasons",Somewhat agree,Neither agree or agree,Neither agree or agree,Somewhat agree,Neither agree or agree,Somewhat agree,Neither agree or agree,Somewhat disagree,Neither agree or agree,Somewhat agree,9,9,I’ve spent my entire life here and have great pride,I have great pride in my country ,10,10,Somewhat favor,Somewhat favor,Neither favor nor oppose,Neither favor nor oppose,Strongly favor,Somewhat oppose,,,No,I like to ek out my own information ,66106426fc5e2e2bccfb8c60,0,1
15,5/7/25 16:12,5/7/25 16:27,IP Address,67.240.170.104,100,864,TRUE,5/7/25 16:27,R_5hAF0BTGSGCtMS5,,,,,42.7885,-77.8135,anonymous,EN,660eb104e6656602d708f33e,I consent,"Yes, Mexican",,New York,1993,Male,"White or Caucasian,American Indian/Native American or Alaska Native,Other",5,"$75,000-$99,999","Not at all interested,Very interested","Some college, but no degree",Latino/a,the Republican Party,Mike Johnson,Chuck Schumer,"Fox News,NBC",Strongly agree,Somewhat disagree,Somewhat disagree,Yes,"One in the US, one elsewhere",All four born outside the US,English,,A lot,Somewhat agree,Strongly disagree,Strongly disagree,Neither agree or agree,"(3) I usually vote, but didn’t in the 2024 election",,Democrat,,Not so strong,,Always,2,0,3,0,3,0,State symbols,Somewhat support,Somewhat unlikely,It would not affect ${q://QID116/ChoiceGroup/SelectedChoices}s,It would not affect immigrants,"No, the same amount",A lot,A lot,"Yes, for my ethnicity",Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree or agree,Somewhat agree,7,3,I live in a blue state and I feel like I am being treated better than when I was living in the south,"I dont really agree with the stuff the government does, I also don't relate to the average american when it comes to politics ",5,1,Strongly oppose,Somewhat oppose,Neither favor nor oppose,Somewhat favor,Strongly oppose,Strongly favor,No,I am already registered to vote ,,,660eb104e6656602d708f33e,0,0
16,5/7/25 16:12,5/7/25 16:29,IP Address,172.56.162.212,100,1020,TRUE,5/7/25 16:29,R_1mDHtMgYrnkXXrP,,,,,40.6627,-73.9138,anonymous,EN,6670e05a65d32df6fa3e7560,I consent,"Yes, other (Please specify.)",Venezuelan,New York,1967,Male,"White or Caucasian,Other",5,"$75,000-$99,999","Not at all interested,Somewhat interested",Bachelor’s degree,Latino/a,the Republican Party,Mike Johnson,Joe Manchin,"Fox News,NBC",Somewhat agree,Strongly disagree,Somewhat disagree,No,Both were born outside the US,All four born outside the US,Spanish,,Some,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,(4) I definitely voted in the 2024 election,Kamala Harris,Democrat,,Not so strong,,Always,1,1,2,1,4,2,None of these,Somewhat support,Somewhat unlikely,It would not affect ${q://QID116/ChoiceGroup/SelectedChoices}s,It would not affect immigrants,"No, the same amount",A lot,A lot,"Yes, for being an immigrant,Yes, for having an accent",Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree or agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,7,2,I’ve been liiving in my state for 20 years and I feel like I am oft of it and is the safe haven ,I am not sure if in other states I will be considered as an American some states wont accept me,6,2,Somewhat oppose,Somewhat oppose,Strongly oppose,Neither favor nor oppose,Strongly favor,Strongly favor,,,No,I am saturated of politics and community politics ,6670e05a65d32df6fa3e7560,1,0
17,5/7/25 16:06,5/7/25 16:31,IP Address,89.47.125.121,100,1510,TRUE,5/7/25 16:31,R_7gLWemiUsF3zy1i,,,,,47.2997,-96.5153,anonymous,EN,678dfbeb3845a6b34d650a7d,I consent,"Yes, Puerto Rican",,Illinois,1986,Female,White or Caucasian,3,"$150,000 or more","Not at all interested,Very interested","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Hispanic,the Republican Party,Mike Johnson,Mitch McConnell,"Fox News,NBC",Strongly agree,Somewhat agree,Somewhat disagree,Yes,Both were born in the US,All four in the US,English,,A lot,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,(4) I definitely voted in the 2024 election,Kamala Harris,Democrat,,Strong,,Sometimes,0,3,0,4,0,0,Immigration,Somewhat oppose,Somewhat likely,It would somewhat negatively affect ${q://QID116/ChoiceGroup/SelectedChoices}s,It would somewhat negatively affect immigrants,"Yes, a little more",A lot,Some,"Yes, for my ethnicity",Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,10,7,I feel I belong in my state because I have several neighbors of my ethnic group and therefore face little to no discrimination.,I quite belong because in the US racial and ethnic discrimination is in most places and my group is considered a minority.,10,7,Somewhat oppose,Somewhat oppose,Somewhat oppose,Somewhat favor,Somewhat favor,Somewhat favor,No,Because this is information I can personally look up and find.,,,678dfbeb3845a6b34d650a7d,0,0
18,5/7/25 16:15,5/7/25 16:32,IP Address,89.46.182.177,100,1020,TRUE,5/7/25 16:32,R_52gocAbXIEjFNG5,,,,,34.9458,-81.9334,anonymous,EN,6781935f0fbff63cc8eb3595,I consent,"Yes, Puerto Rican",,Florida,1979,Male,Other,2,"$150,000 or more","Not at all interested,Very interested",Associates or technical degree,Hispanic,the Republican Party,Mike Johnson,Mike Johnson,"Fox News,NBC",Strongly agree,Somewhat disagree,Somewhat disagree,Yes,Both were born in the US,All four born outside the US,English,,Some,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,(4) I definitely voted in the 2024 election,Kamala Harris,Democrat,,Strong,,Sometimes,3,6,1,1,3,5,Immigration,Somewhat support,Somewhat likely,It would somewhat negatively affect ${q://QID116/ChoiceGroup/SelectedChoices}s,It would negatively affect immigrants,"No, a little less",A lot,Some,"No, I have not experienced discrimination for these reasons",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,9,9,I belong to my state because i was born there ,i belong to the US because am a citizen by birth ,9,9,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat favor,,,Yes,I would like to know much about my community ,6781935f0fbff63cc8eb3595,0,0
19,5/7/25 16:20,5/7/25 16:36,IP Address,173.224.109.112,100,980,TRUE,5/7/25 16:36,R_1Tq0oo3JCleu8tF,,,,,29.7388,-95.8309,anonymous,EN,662a94bd827a5f8f446898e9,I consent,"Yes, Mexican",,Texas,1974,Female,White or Caucasian,2,"$150,000 or more","Not at all interested,Very interested",Associates or technical degree,Hispanic,the Republican Party,Mitch McConnell,Mitch McConnell,"Fox News,NBC",Somewhat agree,Strongly disagree,Somewhat disagree,Yes,Both were born in the US,"Three in the US, one elsewhere",English,,Some,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,(4) I definitely voted in the 2024 election,Kamala Harris,Something else,Independent leaning towards Republican,,Closer to the Republican Party,Most of the time,4,0,0,0,0,0,Healthcare,Neither support nor oppose,Not at all likely,It would somewhat positively affect ${q://QID116/ChoiceGroup/SelectedChoices}s,It would somewhat positively affect immigrants,"No, the same amount",Some,Some,"Yes, for my ethnicity",Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree or agree,Somewhat agree,Somewhat agree,8,10,I belong in my state because I was born here and have natural rights to be here. ,I belong in the US because this is my birthplace. ,8,10,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat oppose,Somewhat favor,Strongly oppose,No,I don't care for one on one contact with people. I would not care to have a conversation about it but I would be interested in learning about the issue in other ways like social media or reading about it online. ,,,662a94bd827a5f8f446898e9,0,0
20,5/7/25 16:19,5/7/25 16:37,IP Address,35.146.250.109,100,1089,TRUE,5/7/25 16:37,R_7x3p5euGRo0u74J,,,,,33.1976,-96.6178,anonymous,EN,67094d6215b6d0fe3e8c3e39,I consent,"Yes, Mexican",,Texas,2001,Male,White or Caucasian,2,"$50,000-$74,999","Not at all interested,Very interested","Some college, but no degree",Hispanic,the Republican Party,Mike Johnson,Chuck Schumer,"Fox News,NBC",Strongly agree,Somewhat agree,Somewhat disagree,Yes,Both were born in the US,"Two in the US, two elsewhere",English,,Some,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,(4) I definitely voted in the 2024 election,Donald Trump,Republican,,Not so strong,,Sometimes,5,1,1,0,4,2,Healthcare,Somewhat support,Somewhat likely,It would somewhat positively affect ${q://QID116/ChoiceGroup/SelectedChoices}s,It would positively affect immigrants,"No, the same amount",A lot,A lot,"Yes, for my ethnicity",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,9,9,I feel like i am proud to be a Texan Hispanic and American even though i am a lighter toned hispanic and people might get confused that i am one i am still proud of my culture and ethnicity.,I feel like i belong to make the country better and feel i can provide that in anything that i choose to do!,9,7,Somewhat oppose,Somewhat oppose,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat favor,,,Yes,I would like to be more informed on current and up to date issues revolving my culture and ethnicity as a hispanic US citizen.,67094d6215b6d0fe3e8c3e39,0,0
21,5/7/25 16:03,5/7/25 16:37,IP Address,104.251.93.167,100,2016,TRUE,5/7/25 16:37,R_1GwOPCi6aGFnonp,,,,,37.751,-97.822,anonymous,EN,67dcb4fa7468a703fe7c1be0,I consent,"Yes, Cuban",,Oregon,1973,Female,Other,2,"$75,000-$99,999","Not at all interested,Very interested","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Hispanic,the Republican Party,Mike Johnson,Joe Manchin,"Fox News,NBC",Strongly agree,Strongly agree,Strongly disagree,Yes,Both were born outside the US,All four in the US,English,,A lot,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,(4) I definitely voted in the 2024 election,Donald Trump,Republican,,Strong,,Sometimes,5,1,4,2,3,1,Immigration,Somewhat support,Somewhat likely,It would somewhat positively affect ${q://QID116/ChoiceGroup/SelectedChoices}s,It would somewhat positively affect immigrants,"Yes, a little more",A lot,Some,"No, I have not experienced discrimination for these reasons",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,8,8,"I feel a strong connection to my state because I have lived here most of my life, and the community values align with my own. The local culture and people make me feel at home","I feel connected to the United States because I believe in the country's core values of freedom and opportunity, though there are aspects of the political climate that sometimes make me feel disconnected",9,8,Somewhat favor,Strongly favor,Somewhat oppose,Strongly favor,Somewhat favor,Somewhat oppose,Yes,I would not like to be contacted because I prefer to seek out voting information on my own when needed. I like to have control over the sources I receive updates from,,,67dcb4fa7468a703fe7c1be0,0,0
22,5/7/25 16:13,5/7/25 16:40,IP Address,94.103.191.50,100,1602,TRUE,5/7/25 16:40,R_3xISVFL2DNJHfBQ,,,,,39.0469,-77.4903,anonymous,EN,67f2e818d6535aab793612dc,I consent,"Yes, Mexican",,California,1994,Male,White or Caucasian,2,"$100,000-$149,999","Not at all interested,Very interested","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Hispanic,the Republican Party,Mike Johnson,Chuck Schumer,"Fox News,NBC",Somewhat agree,Somewhat disagree,Strongly disagree,Yes,Both were born in the US,All four in the US,English,,Some,Strongly agree,Somewhat agree,Strongly agree,Neither agree or agree,(4) I definitely voted in the 2024 election,Donald Trump,Republican,,Not so strong,,Sometimes,7,2,6,2,7,0,Healthcare,Somewhat support,Somewhat likely,It would somewhat negatively affect ${q://QID116/ChoiceGroup/SelectedChoices}s,It would somewhat negatively affect immigrants,"No, a little less",Some,A little,"No, I have not experienced discrimination for these reasons",Somewhat agree,Somewhat agree,Neither agree or agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,8,9,I feel like I personally belong to my state because I do not face much problems that others complain about.,"I do belong to USA because I was born and raised here, I know the culture and I behave as an American. ",8,9,Somewhat oppose,Neither favor nor oppose,Somewhat oppose,Somewhat oppose,Somewhat favor,Strongly favor,,,No,"I learned a lot about the my group online and other sources, I would not want to be feed with bias information incase the organization choose to be bias.",67f2e818d6535aab793612dc,0,0
23,5/7/25 16:08,5/7/25 16:46,IP Address,158.222.131.224,100,2287,TRUE,5/7/25 16:46,R_57BSjK4x5HXfNOu,,,,,40.8123,-73.9682,anonymous,EN,5ead45a386fbbe3c8eebe510,I consent,"Yes, other (Please specify.)",Dominican,New York,1996,Male,Other,6,"$50,000-$74,999","Not at all interested,Very interested",Bachelor’s degree,Hispanic,the Republican Party,Mike Johnson,Chuck Schumer,"Fox News,NBC",Somewhat agree,Strongly agree,Somewhat disagree,Yes,Both were born outside the US,All four born outside the US,English and Spanish are equally used,,Some,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,(4) I definitely voted in the 2024 election,Donald Trump,Republican,,Not so strong,,Never,2,0,2,3,2,3,State symbols,Somewhat oppose,Somewhat unlikely,It would not affect ${q://QID116/ChoiceGroup/SelectedChoices}s,It would somewhat positively affect immigrants,"No, the same amount",Some,Some,"No, I have not experienced discrimination for these reasons",Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,4,7,My state is very bias in its liberal beliefs yet its a very expensive state its very tough to fit in New York City.,I feel like I feel like I don't belong in the United States because the financial ladder is hard to climb and I feel left out.,5,6,Strongly favor,Strongly favor,Strongly favor,Strongly oppose,Somewhat favor,Somewhat favor,,,Yes,I want to know more about local issues since the news is dominated by Federal politics.,5ead45a386fbbe3c8eebe510,0,0
24,5/7/25 16:20,5/7/25 16:49,IP Address,76.169.50.14,100,1752,TRUE,5/7/25 16:49,R_7g2j28KuziyNShd,,,,,33.9576,-118.267,anonymous,EN,5fb0a3d6a8e4224b973e750b,I consent,"Yes, Mexican",,California,1998,Male,White or Caucasian,2,"Less than $25,000","Not at all interested,Very interested",High school diploma or GED,Latino/a,the Republican Party,Mike Johnson,Joe Manchin,"Fox News,NBC",Strongly agree,Strongly disagree,Strongly disagree,Yes,Both were born outside the US,All four born outside the US,English,,A lot,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,(4) I definitely voted in the 2024 election,Kamala Harris,Democrat,,Not so strong,,Always,0,0,0,5,0,0,Immigration,Strongly support,Very likely,It would positively affect ${q://QID116/ChoiceGroup/SelectedChoices}s,It would positively affect immigrants,Don't know,A lot,A lot,"Yes, for my ethnicity",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree or agree,Strongly disagree,Strongly disagree,Neither agree or agree,10,10,"I feel I do because I was born and raised here, plain and simple.",I belong here because I grew up in this country and grew up around American culture this is my home.,10,10,Strongly oppose,Strongly oppose,Strongly oppose,Strongly favor,Strongly favor,Strongly favor,No,I would not because I'm pretty sure I can find that information on my own.,,,5fb0a3d6a8e4224b973e750b,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/7/25 15:57,5/7/25 16:10,IP Address,24.130.22.27,100,739,TRUE,5/7/25 16:10,R_3kFgxbK9gXf5XNT,,,,,37.9269,-122.3313,anonymous,EN,6785ca28acf7592ed65853fa,I consent,"Yes, Mexican",,California,2000,Female,Other,2,"$25,000-$49,999","Not at all interested,Very interested",Associates or technical degree,Latino/a,,Mitch McConnell,Mitch McConnell,"Fox News,NBC",Somewhat agree,Somewhat disagree,Strongly disagree,Yes,Both were born outside the US,All four born outside the US,English,,A lot,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,(4) I definitely voted in the 2024 election,Other,Something else,Independent,,Closer to the Democratic Party,Most of the time,0,0,0,0,0,0,State symbols,Somewhat oppose,Not at all likely,It would not affect ${q://QID116/ChoiceGroup/SelectedChoices}s,It would not affect immigrants,"No, the same amount",A lot,A lot,"Yes, for my ethnicity",Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree or agree,Strongly agree,Somewhat disagree,Neither agree or agree,8,0,"My state is a lot more progressive here in the West Coast. Despite this, there will always be people who will be racially prejudice no matter what I do. Still, it's more safer here than anywhere else.","With Trump's current administration, as well as the actions and words he's said in the past as part of his presidency, the majority of America have seen us as a threat, regardless of if we were born in the states, a legal resident, or undocumented. For how we are, we are deemed not worthy of being on American soil.",8,1,Somewhat oppose,Strongly oppose,Strongly oppose,Neither favor nor oppose,Strongly oppose,Strongly favor,,,No,"I want to keep up to date on what's going on in my community. It's already bad enough that the government is being secretive about the camps they hold for those seized by ICE, and I have family that I need to protect.",6785ca28acf7592ed65853fa,0,0
,5/7/25 16:09,5/7/25 16:10,IP Address,,100,29,TRUE,5/7/25 16:10,R_1SfO4Nphomf9Zlv,,,,,,,anonymous,EN,674780197d2f877d208e64bf,I consent,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674780197d2f877d208e64bf,0,0
