"","State","id","text","Class","period","licensure","education_access","services","status","enforcement","criminal","refugee","migrant","employment","emergency","Class_Int","impact_score","weighted_class"
"369","GA","GA HR 1667 2012","This resolution recognizes and honors the members of the St. Patrick's Day Parade Committee 2012 and the upcoming St. Patrick's day parade, the 188th celebration which was begun in 1824 by the Hibernian Society of Savannah formed to aid the early Irish immigrants to Georgia.","","2012-2016",0,0,0,0,0,0,0,1,0,0,NA,1,NA
"370","GA","GA HR 1716 2016","This resolution recognizes March 11, 2016 as Caribbean American Legislative Day, and the contributions that Caribbean American immigrants have made to Georgia.","","2012-2016",0,0,0,0,0,0,0,1,0,0,NA,1,NA
"371","GA","GA HR 178 2015","This resolution recognizes February 3, 2015, as Catholic Day at the state capitol. The Archdiocese of Atlanta and the Diocese of Savannah, through their institutions and their people, have continued to reach out in service to all people in Georgia, including newcomers and long established families from all parts of the world, including refugees, immigrants, and those seeking asylum from religious and political oppression.","","2012-2016",0,0,0,0,1,0,1,1,0,0,NA,2,NA
"372","GA","GA HR 2041 2014","Honors Roberto Moraes born in Sao Paulo, Brazil who worked 12 years at the United States Department of Housing and Urban Development in Atlanta, retiring in 1990 after more than a decade of loyal service.","","2012-2016",0,0,0,0,1,0,0,0,0,0,NA,1,NA
"373","GA","GA HR 2167 2012","This resolution recognizes and commends the Latin American Association on its the mission to further the integration of Latino immigrants into the American society as workers, family members, students, and leaders.","","2012-2016",0,1,0,0,0,0,0,1,0,0,NA,2,NA
"374","GA","GA HR 428 2015","This resolution declares the month of April, 2015 as Genocide Prevention and Awareness Month at the Capitol and invites the Georgia Coalition to Prevent Genocide to be recognized by the House of Representatives. It also recognizes the Eternal-Life Hemshech of Holocaust Survivors, the Georgia Commission on the Holocaust, the Jewish Community Relations Council of Atlanta, the National Center for Civil and Human Rights, the American Jewish Committee Atlanta Regional Office, and ACCESS Atlanta in their efforts to enhance the security and dignity of minority populations across the globe.","","2012-2016",0,0,0,0,1,0,0,0,0,0,NA,1,NA
"375","GA","GA HR 457 2013","This resolution commends Jong Ho Lee's contributions in leadership and personal commitments to the welfare of all citizens. Jong Ho Lee, an immigrant from South Korea, was appointed the first Georgia president of the United States Taekwondo Union and later founded Taekwondo Aerobics.","","2012-2016",0,0,1,0,0,0,0,1,0,0,NA,2,NA
"376","GA","GA HR 489 2015","This resolution honors the members of the St. Patrick's Day Parade Committee, Chairman Kevin Halligan and the Grand Marshal of the 2015 St. Patrick's Day Parade, Hugh Coleman on the upcoming 2015 St. Patrick's Day Parade in Savannah, Georgia, and invites them to be recognized by the House of Representatives. Savannah has proud Irish roots and its St. Patrick's Day celebration began in 1824 by the Hibernian Society of Savannah, which was formed to aid the early Irish immigrants to Georgia.","","2012-2016",0,0,0,0,0,0,0,1,0,0,NA,1,NA
"377","GA","GA HR 625 2015","This resolution congratulates the Clarkston High School cross country team for their victorious performance in the 2014 Cross Country State Championship. The team reflects the community around them and is comprised of mostly refugees from Ethiopia, Kurdistan, Somalia, Democratic Republic of Congo, Eritrea and North Sudan.","","2012-2016",0,0,0,0,0,0,1,0,0,0,NA,0,NA
"378","GA","GA HR 63 2013","This resolution recognizes February 7, 2012, as Catholic Day at the Georgia state capitol and commends the members of the Catholic faith for reaching out to all people in Georgia whether newcomers or long established, including refugees, immigrants, and those seeking asylum from oppression.","","2012-2016",0,0,0,0,0,0,1,1,0,0,NA,1,NA
"379","GA","GA HR 749 2015","This resolution commends Jeffrey Tapia for her life of dedicated service. Under her supervision and direction, the Latin American Association (LAA) has been able to serve more than 50,000 people annually, helping Latinos achieve self-sufficiency, set down roots, and build a prosperous community. She has worked diligently to ensure that all of Georgia's children had access to public education, regardless of their immigration status.","","2012-2016",0,1,0,1,1,0,0,0,0,0,NA,3,NA
"380","GA","GA HR 82 2013","This resolution honors the life and memory of Fred Toyosaburo Korematsu, son of Japanese immigrants who following the attack on Pearl Harbor in 1941, fought against forceable removal from the western coast based on his assertion of American loyalty despite his Japanese ancestry. Korematsu remained a tireless advocate for civil liberties and justice throughout his life and is a role model for all Americans who love the United States and the promises contained in the Constitution.","","2012-2016",0,0,0,0,1,0,0,1,0,0,NA,2,NA
"381","GA","GA HR 974 2016","This resolution honors the life and memory of Jacob Groen. Jacob Groen was born in Antwerp, Belgium, in 1925, and was among the survivors of the Nazi death camps during World War II. He later immigrated to Georgia and made a significant impact on the Georgia community.","","2012-2016",0,0,0,0,0,0,0,0,0,0,NA,0,NA
"382","GA","GA HR 980 2016","This resolution recognizes January 13, 2016, as Korean American Day at the State Capitol, and the large amount of Korean Immigrants who have immigrated into the United States and now live and contribute to the state of Georgia.","","2012-2016",0,0,0,0,0,0,0,1,0,0,NA,1,NA
"383","GA","GA HR 982 2013","This resolution commends the Governor's Commission on Brookhaven, including Ben Vinson, the commission's chairman, who also serves as Chairman of the Georgia Immigration Enforcement Review Board.","","2012-2016",0,0,0,0,1,0,0,0,0,0,NA,1,NA
"384","GA","GA S 122 2013","This law authorizes the issuance of a temporary driving permit to noncitizen applicants whose State driver's license has expired, or will expire, who has filed a request for an extension to remain lawfully within the United States.","","2012-2016",1,0,0,0,1,0,0,0,0,0,NA,2,NA
"385","GA","GA S 160 2013","This law amends the Official Code of Georgia Annotated, relating to security and immigration compliance. All public employers and contractors at every tier and level must use the federal work authorization program on all projects, jobs, and work resulting from any bid or contract. Further, every public employer and contractor working for a public employer must take all possible steps to ensure that a legal and eligible workforce is utilized in accordance with federal immigration and employment.","","2012-2016",0,0,0,0,0,0,0,0,1,0,NA,1,NA
"386","GA","GA S 89 2015","This law prohibits the transfer of student personally identifiable data to any federal, state, or local agency or nongovernmental organization, except for specified exceptions, including when the federal government requires the transfer of student data for a student classified as a 'migrant' for related federal program purposes.","","2012-2016",0,1,0,0,0,0,0,1,0,0,NA,2,NA
"388","GA","GA SR 1124 2012","This resolution recognizes and commends the members of the St. Patrick's day parade committee on the upcoming celebration of the 2012 St. Patrick's Day parade, an occasion that was begun by Hibernian Society of Savannah formed to aid the early Irish immigrants to Georgia.","","2012-2016",0,0,0,0,0,0,0,1,0,0,NA,1,NA
"389","GA","GA SR 1125 2012","This resolution recognizes and honors the St. Patrick's Day Parade Committee Chairman Michael A. Foran on the upcoming celebration of the 2012 St. Patrick's Day parade, an occasion that was begun by Hibernian Society of Savannah formed to aid the early Irish immigrants to Georgia.","","2012-2016",0,0,0,0,0,0,0,1,0,0,NA,1,NA
"390","GA","GA SR 1126 2012","This resolution recognizes and honors the St. Patrick's Day Parade Grand Marshal Timothy Tim Ansley on the upcoming celebration of the 2012 St. Patrick's Day parade, an occasion that was begun by Hibernian Society of Savannah formed to aid the early Irish immigrants to Georgia.","","2012-2016",0,0,0,0,0,0,0,1,0,0,NA,1,NA
"391","GA","GA SR 1204 2012","This resolution recognizes and commends Mr. James Foon Lee, a Chinese immigrant, on the occasion of his 90th birthday and wishes him many more years of happiness.","","2012-2016",0,0,0,0,0,0,0,1,0,0,NA,1,NA
"392","GA","GA SR 1220 2016","This resolution commends the 2016 St. Patrick's Day Parade Committee and recognizes the celebration's start by the Hibernian Society of Savannah, which was formed to aid early Irish immigrants in Georgia.","","2012-2016",0,0,0,0,0,0,0,1,0,0,NA,1,NA
"393","GA","GA SR 1239 2016","This resolution commends Good Samaritan Health Center of Gwinnett County, whose services are offered to all individuals regardless of immigration status.","","2012-2016",0,0,1,1,1,0,0,0,0,0,NA,3,NA
"394","GA","GA SR 221 2013","This resolution recognizes February 12, 2013, as Interfaith Children's Movement Day at the state capitol. Interfaith Children's Movement is an interfaith advocacy movement dedicated to improving the well- being of children in Georgia, including children of immigrant families.","","2012-2016",0,0,0,0,0,0,0,1,0,0,NA,1,NA
"395","GA","GA SR 361 2015","This resolution recognizes the month of April, 2015, as Genocide Prevention and Awareness Month at the Capitol and commends the Georgia Coalition to Prevent Genocide, Eternal-Life Hemshech of Holocaust Survivors, the Georgia Commission on the Holocaust, The Jewish Community Relations Council of Atlanta, The National Center for Civil and Human Rights, The American Jewish Committee Atlanta Regional Office, and ACCESS Atlanta in their efforts to enhance the security and dignity of minority populations across the globe.","","2012-2016",0,0,0,0,1,0,0,0,0,0,NA,1,NA
"396","GA","GA SR 380 2013","This resolution, which honors members of the St. Patrick's Day Parade Committee, acknowledges the many Irish organizations have contributed to the longevity and success of this celebration, among the largest Irish celebrations in the country.","","2012-2016",0,0,0,0,0,0,0,0,0,0,NA,0,NA
"397","GA","GA SR 390 2015","This resolution recognizes and honors the members of the St. Patrick's Day Parade Committee, Chairman Kevin Halligan and the Grand Marshal of the 2015 St. Patrick's Day Parade, Hugh Coleman on the upcoming occasion of the 2015 St. Patrick's Day Parade in Savannah, Georgia. Savannah has proud Irish roots and its St. Patrick's Day celebration began in 1824 by the Hibernian Society of Savannah, which was formed to aid the early Irish immigrants to Georgia.","","2012-2016",0,0,0,0,0,0,0,1,0,0,NA,1,NA
"398","GA","GA SR 629 2013","This resolution urges the United States Congress to develop and implement a practical plan to secure the country's international borders and to appropriate adequate funds for that purpose.","","2012-2016",0,0,0,0,0,0,0,0,0,0,NA,0,NA
"399","GA","GA SR 679 2016","This resolution honors January 13, 2016, as Korean American Day, recognizes pioneering Korean immigrants, and adds that the Korean American population in Georgia has increased by 95% in the last decade.","","2012-2016",0,0,0,0,0,0,0,1,0,0,NA,1,NA
"400","GA","GA SR 715 2012","This resolution urges Congress to allow states to administer their own H-2A guest worker programs through the monitoring of the U.S. Department of Agriculture.","","2012-2016",0,0,0,0,0,0,0,0,0,0,NA,0,NA
"401","GA","GA SR 780 2012","This resolution recognizes February 7th 2012 as Catholic day at the Georgia state capitol and commends the members of the Catholic faith for reaching out to all people in Georgia whether newcomers or long established, including refugees, immigrants, and those seeking asylum from oppression.","","2012-2016",0,0,0,0,0,0,1,1,0,0,NA,1,NA
"402","GA","GA SR 810 2012","This resolution recognizes February 9 as Community Health Centers Day. Community health centers provide high quality primary and preventive health care to 400,000 people in the State of Georgia, including Medicaid recipients, the uninsured, the working poor and immigrants.","","2012-2016",0,0,1,0,0,0,0,1,0,0,NA,2,NA
"403","GA","GA SR 899 2016","This resolution recognizes February 4, 2016 as Catholic Day, and the efforts of the Archdiocese of Atlanta and the Diocese of Savannah in helping immigrants, refugees, and asylees.","","2012-2016",0,0,0,0,0,0,1,1,0,0,NA,1,NA
"404","GA","GA SR 911 2016","This resolution congratulates Mr. David Kayango, an immigrant to the U.S., upon his appointment as the new CEO of the Center for Civil and Human Rights.","","2012-2016",0,0,0,0,0,0,0,1,0,0,NA,1,NA
"405","GA","GA SR 941 2014","This resolution urges Congress to grow the United States economy by increasing the number of visas designed to permit Korean citizens possessing skills in a specialty occupation to work in the United States.","","2012-2016",1,0,0,0,0,0,0,0,0,0,NA,1,NA
"406","GA","GA SR 998 2016","This resolution congratulates Mr. David Kayango, an immigrant to the U.S., upon his appointment as the new CEO of the Center for Civil and Human Rights.","","2012-2016",0,0,0,0,0,0,0,1,0,0,NA,1,NA
"407","HI","HI H 1007 2015","This law authorizes the issuance of driver's licenses to residents of Hawaii who cannot provide proof of authorized presence in the U.S. Applicants must provide satisfactory proof of identity and Hawaii residency.","","2012-2016",1,0,0,0,1,0,0,0,0,0,NA,2,NA
"409","HI","HI H 2362 2016","This law amends the duties of the workforce council to comply with the federal Workforce Innovation and Opportunity Act and removes a reference to certain populations facing barriers in the workforce, including immigrants.","","2012-2016",0,0,0,0,0,0,0,1,1,0,NA,2,NA
"410","HI","HI H 2374 2012","Effective July 1, 2012, this law moves the Office of Language Access from the Department of Labor and Industrial Relations to the Department of Health, in order to better serve limited English proficient individuals in accessing government services and programs. It also continues an advisory council, which includes a bilingual worker employed by a state-funded immigrant service agency or program.","","2012-2016",0,0,1,0,1,0,0,1,0,0,NA,3,NA
"411","HI","HI H 2578 2012","This law eliminates the advisory council for community services which formerly assisted the executive director in formulating goals for programs and services benefitting the disadvantaged, refugees, and immigrants.","","2012-2016",0,0,0,0,1,0,1,1,0,0,NA,2,NA
"412","HI","HI H 266 2013","This law establishes a statewide language access resource center to assist individuals with limited English language proficiency in identifying qualified language interpreters and translators and to obtain information about the state resources that are available to them.","","2012-2016",0,0,0,0,0,0,0,0,0,0,NA,0,NA
"413","HI","HI HCR 183 2013","This resolution urges the President of the United States and Congress to support and pass the Filipino Veterans Family Reunification Act of 2013.","","2012-2016",0,0,0,0,0,0,0,0,0,0,NA,0,NA
"414","HI","HI HCR 208 2015","This resolution urges Congress and the U.S. Department of the Interior to restore federal healthcare funding for residents present under the compacts of free association.","","2012-2016",0,0,1,0,0,0,0,0,0,0,NA,1,NA
"416","HI","HI HCR 50 2012","This resolution requests the Governor to recognize local Koreans by placing commemorative plaques at the former sites of the Korean Christian Institute, to be funded by the Korean community.","","2012-2016",0,0,0,0,0,0,0,0,0,0,NA,0,NA
"417","HI","HI HR 12 2015","This resolution requests access to justice commission to assemble various state and community entities to determine which agency or organization should administer funding for civil legal services to the low- and moderate-income. Civil legal services provides better access to the justice system to the indigent who are immigrants, homeless, at risk of homelessness, families in crisis, consumers who have been taken advantage of, and those who speak English as a second language.","","2012-2016",0,0,0,0,1,0,0,1,0,0,NA,2,NA
"418","HI","HI HR 13 2016","This resolution congratulates the Hawaii Korean Chamber of Commerce on the occasion of its 75th Anniversary, having been established in 1940 by 15 Korean immigrants.","","2012-2016",0,0,0,0,0,0,0,1,0,0,NA,1,NA
"419","HI","HI HR 139 2015","This resolution requests the auditor to conduct a review on the effect of the transfer from Medicaid to plans on the Hawaii Health Connector for non-eligible Medicaid Compact of Free Association Residents (COFA), an agreement to the Federated States of Micronesia, the Republic of the Marshall Islands, and the Republic of Palau, to provide economic assistance to the populations of these nations by allowing them to enter, reside and work in the United States and to participate in certain federal programs such as Medicaid in exchange for the militarization and environmental degredation of their island homes.","","2012-2016",0,0,1,0,0,0,0,0,0,0,NA,1,NA
"420","HI","HI HR 148 2013","This resolution urges the President and Congress to support and pass the Filipino Veterans Family Reunification Act of 2013, which would exempt the children of certain Filipino World War II veterans from the numerical limitations on immigration visas in order to facilitate reunification of Filipino veterans with their families.","","2012-2016",0,0,0,0,0,0,0,0,0,0,NA,0,NA
"421","HI","HI HR 178 2013","This resolution urges the United States Department of Homeland Security to examine and re- evaluate its policies regarding refugee and asylee protections, including the principle of non-refoulement, to ensure that refugee and asylum seekers are guaranteed their universal human rights.","","2012-2016",0,0,0,0,0,0,1,0,0,0,NA,0,NA
"422","HI","HI HR 198 2012","This resolution congratulates the Maryknoll Sisters for 100 years of dedicated service and honors their legacy and work to help those in need including children, abused women, immigrants, and the elderly.","","2012-2016",0,0,0,0,1,0,0,1,0,0,NA,2,NA
"423","HI","HI HR 200 2014","This resolution recognizes and commends the Moiliili Japanese Cemetery Beautification Project for conducting historical research of and improving the Moiliili Japanese Cemetery, and preserving Japanese immigrant history.","","2012-2016",0,0,0,0,0,0,0,1,0,0,NA,1,NA
"424","HI","HI HR 22 2013","This resolution acknowledges the important role that China and its people have played in Hawaii's economy and culture and the urges the U.S. Department of State, the Department of Homeland Security, and the U.S. Attorney General to include the People's Republic of China in the Visa Waiver Program, which would ease restrictions on business and tourist travelers from China.","","2012-2016",0,0,0,0,0,0,0,0,0,0,NA,0,NA
"425","HI","HI HR 25 2012","This resolution supports the Visa Improvements to Stimulate International Tourism to the United States of America Act which would establish a five year multiple entry visa for Chinese visitors, and make other amendments in the visa process to increase tourism.","","2012-2016",0,0,0,0,0,0,0,0,0,0,NA,0,NA
"426","HI","HI HR 28 2015","This resolution commemorates the thirtieth anniversary of Hawaii's sister-state relationship with the Guangdong Providence. Guangdong was Hawaii's first Chinese sister state because many early immigrants from China came to Hawaii from Guangdong, and over seventy-five per cent of people living in Hawaii can trace their ancestral roots back to the Guangdong province.","","2012-2016",0,0,0,0,0,0,0,1,0,0,NA,1,NA
"427","HI","HI HR 37 2012","This resolution recognizes the 2012 Honpa Hongwanji mission of Hawaii's living treasures such as Barbara Fusako Kawakami who has dedicated her life to preserving Japanese immigrant culture and traditions.","","2012-2016",0,0,0,0,0,0,0,1,0,0,NA,1,NA
"428","HI","HI HR 55 2012","This resolution urges the federal government to include Hong Kong in the U.S. Visa Waiver Program and ease visa restrictions and the visa application and approval process for business and tourism.","","2012-2016",0,0,0,0,0,0,0,0,0,0,NA,0,NA
"429","HI","HI HR 55 2013","This resolution encourages the expansion of international ties and requests the Department of Education to support a student exchange program for students in Hawaiian public schools and students in the Republic of the Philippines where the state has State-Province relationships.","","2012-2016",0,1,0,0,0,0,0,0,0,0,NA,1,NA
"430","HI","HI HR 88 2013","This resolution urges the United States Congress to include resident citizens of the Freely Associated States as qualified aliens under the Personal Responsibility and Work Opportunity Reconciliation Act.","","2012-2016",0,0,0,1,0,0,0,0,0,0,NA,1,NA
"431","HI","HI HR 98 2012","This resolution urges the Congress of the United States to propose and support the inclusion of the Philippines in the VISIT USA Act to boost Hawaii's tourism industry and strengthen the state's ties with the Philippines.","","2012-2016",0,0,0,0,0,0,0,0,0,0,NA,0,NA
"432","HI","HI S 160 2015","This law repeals the Senator Hiram L. Fong scholarship program, endowment trust, which provided financial support to qualifying students enrolled at any campus of the university with demonstrated interest and knowledge of the history of immigration to Hawaii.","","2012-2016",0,1,0,0,0,0,0,0,0,0,NA,1,NA
"433","HI","HI S 2553 2016","Hawaii's immigrant health initiative program special fund is abolished.","","2012-2016",0,0,1,0,0,0,0,1,0,0,NA,2,NA
"434","HI","HI S 2678 2012","This law provides support for the preservation of the Alien Internment Camp in Honolulu where over 1,000 Japanese-Americans, many innocent, were detained during World War II. The law also provides for an educational resource center at the site.","","2012-2016",0,1,0,1,0,0,0,0,0,0,NA,2,NA
"435","HI","HI S 2954 2016","The law amends police department inquiries on firearm applicants to include use of the International Justice and Public Safety Network, which includes the United States Immigration and Customs Enforcement, the National Crime Information Center, and the National Instant Criminal Background Check System.","","2012-2016",0,0,0,0,1,1,0,0,0,0,NA,1,NA
"436","HI","HI S 831 2015","This law declares that a start-up charter school shall be open to any student residing in the State who is entitled to attend a department school and that charter schools may give an enrollment preference through a weighted lottery to educationally disadvantaged students, which includes migrant students and limited English proficient students.","","2012-2016",0,1,0,0,0,0,0,1,0,0,NA,2,NA
"437","HI","HI SCR 108 2013","This resolution urges the United States Congress to allow citizens of the Freely Associated States who lawfully reside in the United States as qualified aliens access to federal benefits, including Medicaid, under the Personal Responsibility And Work Opportunity Reconciliation Act of 1996.","","2012-2016",0,0,1,1,0,0,0,0,0,0,NA,2,NA
"439","HI","HI SR 126 2013","This resolution urges Hawaii's Congressional Delegation to seek and obtain additional federal aid to the state of Hawaii for the provision of educational services to migrants from the compact of free association Nations.","","2012-2016",0,1,0,0,1,0,0,1,0,0,NA,3,NA
"440","HI","HI SR 18 2016","This resolution urges USCIS to immediately resume biometric intake and interviews to the counties of Hawaii, Maui, and Kauai.","","2012-2016",0,0,0,0,0,0,0,0,0,0,NA,0,NA
"441","HI","HI SR 34 2015","This resolution commemorates the thirtieth anniversary of Hawaii's sister-state relationship with the Guangdong Providence. Guangdong was Hawaii's first Chinese sister state because many early immigrants from China came to Hawaii from Guangdong, and over seventy-five per cent of people living in Hawaii can trace their ancestral roots back to the Guangdong province.","","2012-2016",0,0,0,0,0,0,0,1,0,0,NA,1,NA
"442","HI","HI SR 44 2015","This resolution urges Congress and the President to support the passage of legislation to expedite family reunification for certain Filipino Veterans of World War II.","","2012-2016",0,0,0,0,0,0,0,0,0,0,NA,0,NA
"444","HI","HI SR 74 2013","This resolution urges the U.S. Congress to include resident citizens of the Freely Associated States who lawfully reside in the United States as qualified aliens under the Personal Responsibility and Work Opportunity Reconciliation Act of 1996 in recognizing their unique historic and ongoing contributions to the United States of America.","","2012-2016",0,0,0,1,0,0,0,0,0,0,NA,1,NA
"445","HI","HI SR 82 2012","This resolution requests that the Department of Human Services consider amending the federal section 1115 waiver to raise the Medicaid income eligibility ceiling in the Basic Health Program under the federal Patient Protection and Affordable Care Act. The program currently allows eligibility for lawfully present non-immigrants and Compact of Free Association migrants.","","2012-2016",0,0,1,0,1,0,0,1,0,0,NA,3,NA
"446","HI","HI SR 97 2016","This resolution urges state departments to work with the Hawaii State Commission on the Status of Women to develop gender analysis guidelines, including the analysis of immigration as linked to gender.","","2012-2016",0,0,0,0,0,0,0,0,0,0,NA,0,NA
"448","IA","IA H 2390 2012","This law further defines human trafficking as knowingly purchasing or attempting to purchase sexual services from a victim or person engaged in human trafficking.","","2012-2016",0,0,1,0,1,0,0,0,0,0,NA,2,NA
"449","IA","IA H 2460 2016","This appropriations law allocates funds to the economic development authority for the Iowa commission on volunteer services to be used for RefugeeRISE AmeriCorps program member recruitment and training to improve the economic well-being and health of economically disadvantaged refugees in local communities across Iowa.","","2012-2016",0,0,1,0,1,0,1,0,0,0,NA,2,NA
"450","IA","IA H 397 2015","This law relates to the state child labor law. It removes language requiring schools to certify that employed child laborers, between the ages of 10 and 16, are regularly attending school and the potential employment will not interfere with the student's progress in school. The child's employment can be with or without compensation, in street occupations or in migratory labor.","","2012-2016",0,1,0,0,0,0,0,0,1,0,NA,2,NA
"451","IA","IA H 620 2013","This law authorizes the economic development authority to charge fees for the usage of the authority's federal EB-5 immigrant investor regional center.","","2012-2016",0,0,0,0,0,0,0,1,0,0,NA,1,NA
